Wine Title,Province,Region,Suburb,NoOfWineries,RegionPoints,GrapeVariety,NoOfWineriesPlantedByRegion,NoOfWineriesPlantedTotal,Winery,WineryPoints,Address,Winery-long,Winery-lat,Points,Price
Tournon by Michel Chapoutier 2014 Mathilda White (Victoria),Victoria,Heathcote,Heathcote ,8,90.46,Rhone-style White Blend,1,1,Tournon by Michel Chapoutier,90,"141-143 High Street, Heathcote, Vic 3523",144.7058405,-36.9193206,90,16
Moorooduc 2014 The Moorooduc McIntyre Pinot Noir (Mornington Peninsula),Victoria,Mornington Peninsula,Moorooduc ,7,89.24,Pinot Noir,6,17,Moorooduc,90.71,"501 Derril Road, Moorooduc, Vic 3936",145.103233,-38.2553909,91,65
Warrabilla 2000 Shiraz (Rutherglen),Victoria,Rutherglen,Rutherglen,5,91.17,Shiraz,3,27,Warrabilla,87.5,"340 Old Healesville Road, Yarra Glen, Vic 3775",145.3978993,-37.6461222,87,27
Warramate 2012 Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Gruyere ,19,88.25,Pinot Noir,10,17,Warramate,90,"27 Maddens Lane, Gruyere, Vic 3770",145.4626586,-37.7057191,91,
Innocent Bystander 2013 Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Pinot Noir,10,17,Innocent Bystander,87.78,"314 Maroondah Highway, Healesville, Vic 3777 ",145.5229,-37.6507,88,20
De Bortoli 2008 Gulf Station Shiraz-Viognier (Yarra Valley),Victoria,Yarra Valley,Dixons Creek ,19,88.25,Shiraz-Viognier,3,4,De Bortoli,86.78,"Pinnacle Lane, Dixons Creek, Vic 3775 ",145.3992988,-37.5985954,88,20
Yeringberg 2005 Chardonnay (Yarra Valley),Victoria,Yarra Valley,Coldstream,19,88.25,Chardonnay,11,16,Yeringberg,88.9,"810 Maroondah Hwy, Coldstream VIC 3770",145.37781,-37.72857,90,35
T'Gallant 2000 Pinot Noir (Mornington Peninsula),Victoria,Mornington Peninsula,Main Ridge ,7,89.24,Pinot Noir,6,17,T'Gallant,86,"1385 Mornington-Flinders Road, Main Ridge, Vic 3928",144.9841379,-38.4194884,85,25
Yering Station 2010 Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Yarra Glen ,19,88.25,Pinot Noir,10,17,Yering Station,87.53,"38 Melba Highway, Yarra Glen, Vic 3775",145.3744442,-37.6614737,89,20
Chambers Rosewood Vineyards NV Rare Muscadelle (Rutherglen),Victoria,Rutherglen,Rutherglen,5,91.17,Muscadelle,1,1,Chambers Rosewood Vineyards,92.94,"Barkly St, Rutherglen VIC, Australia",146.4641046,-36.046038,99,300
De Bortoli 2008 Deen De Bortoli Vat 9 Cabernet Sauvignon (Australia),Victoria,Yarra Valley,Dixons Creek ,19,88.25,Cabernet Sauvignon,3,6,De Bortoli,86.78,"Pinnacle Lane, Dixons Creek, Vic 3775 ",145.3992988,-37.5985954,87,13
Innocent Bystander 2015 Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Pinot Noir,10,17,Innocent Bystander,87.78,"314 Maroondah Highway, Healesville, Vic 3777 ",145.5229,-37.6507,89,20
Yarra Burn 2000 Chardonnay (Yarra Valley),Victoria,Yarra Valley,Mulgra,19,88.25,Chardonnay,11,16,Yarra Burn,84,"4/19 Geddes Street, Mulgrave, VIC 3170",145.1541824,-37.9057778,84,16
Giant Steps 2011 Applejack Vineyard Pinot Noir (Yarra Valley),Victoria,Yarra Valley,Heales,19,88.25,Pinot Noir,10,17,Giant Steps,89.13,"336 Maroondah Highway, Healesville, Vic 3777",145.5227133,-37.6513402,88,42
